Call: 
traitMPT(eqnfile = "2htmratings2.eqn", data = do, restrictions = list("q1_A=q6_A", 
    "q2_A=q5_A", "q1_B=q6_B", "q2_B=q5_B"), n.iter = 75000, n.adapt = 15000, 
    n.burnin = 10000, n.thin = 10, n.chains = 4, modelfilename = "old2.jags", 
    parEstFile = "oldratings2.txt", posteriorFile = "oldratingsmod2.RData")

Group-level medians of MPT parameters (probability scale):
           Mean    SD  2.5%   50% 97.5% Time-series SE n.eff  Rhat R_95%
mean_b_A  0.429 0.030 0.367 0.429 0.487          0.000  6302 1.000 1.002
mean_b_B  0.428 0.070 0.287 0.429 0.566          0.002  1213 1.003 1.008
mean_pn_A 0.610 0.046 0.514 0.612 0.693          0.001  6692 1.001 1.004
mean_pn_B 0.780 0.052 0.662 0.786 0.865          0.001  1873 1.003 1.007
mean_po_A 0.062 0.038 0.004 0.058 0.143          0.001  5419 1.001 1.002
mean_po_B 0.565 0.146 0.252 0.576 0.817          0.007   493 1.009 1.028
mean_q1_A 0.199 0.021 0.159 0.199 0.242          0.000  4472 1.001 1.004
mean_q1_B 0.151 0.045 0.069 0.149 0.246          0.001  1019 1.001 1.004
mean_q2_A 0.371 0.025 0.321 0.370 0.420          0.000  7645 1.000 1.001
mean_q2_B 0.334 0.055 0.220 0.336 0.435          0.002  1055 1.010 1.030
mean_r1   0.433 0.037 0.363 0.432 0.509          0.001   760 1.001 1.003
mean_r2   0.681 0.044 0.605 0.678 0.776          0.001  2708 1.002 1.006
mean_r5   0.719 0.073 0.588 0.714 0.879          0.002  1047 1.001 1.001
mean_r6   0.544 0.090 0.374 0.542 0.728          0.004   486 1.000 1.001

Mean/Median of latent-trait values (probit-scale) across individuals:
                 Mean    SD   2.5%    50%  97.5% Time-series SE n.eff  Rhat R_95%
latent_mu_b_A  -0.180 0.078 -0.340 -0.178 -0.033          0.001  6366 1.000 1.002
latent_mu_b_B  -0.185 0.183 -0.562 -0.179  0.167          0.005  1222 1.003 1.008
latent_mu_pn_A  0.281 0.120  0.035  0.284  0.506          0.001  6729 1.001 1.004
latent_mu_pn_B  0.784 0.173  0.418  0.792  1.102          0.004  1859 1.002 1.007
latent_mu_po_A -1.645 0.407 -2.672 -1.568 -1.066          0.005  6042 1.000 1.001
latent_mu_po_B  0.173 0.398 -0.667  0.192  0.906          0.018   497 1.010 1.028
latent_mu_q1_A -0.847 0.076 -0.997 -0.846 -0.699          0.001  4571 1.001 1.004
latent_mu_q1_B -1.054 0.201 -1.480 -1.041 -0.688          0.006  1098 1.002 1.004
latent_mu_q2_A -0.331 0.067 -0.464 -0.331 -0.202          0.001  7641 1.000 1.001
latent_mu_q2_B -0.434 0.155 -0.771 -0.422 -0.163          0.005  1061 1.010 1.030
latent_mu_r1   -0.169 0.094 -0.349 -0.171  0.022          0.003   759 1.001 1.003
latent_mu_r2    0.475 0.127  0.266  0.462  0.760          0.002  2785 1.002 1.006
latent_mu_r5    0.597 0.242  0.223  0.566  1.172          0.008  1002 1.000 1.000
latent_mu_r6    0.114 0.234 -0.322  0.105  0.608          0.011   486 1.000 1.001

Standard deviation of latent-trait values (probit scale) across individuals:
                   Mean    SD  2.5%   50% 97.5% Time-series SE n.eff  Rhat R_95%
latent_sigma_b_A  0.073 0.057 0.003 0.061 0.212          0.001  3394 1.004 1.010
latent_sigma_b_B  0.180 0.152 0.007 0.143 0.579          0.005  1054 1.036 1.082
latent_sigma_pn_A 0.123 0.096 0.005 0.102 0.358          0.002  3919 1.005 1.014
latent_sigma_pn_B 0.231 0.170 0.010 0.200 0.629          0.004  1724 1.002 1.006
latent_sigma_po_A 0.391 0.331 0.014 0.312 1.244          0.006  2851 1.005 1.013
latent_sigma_po_B 1.736 0.517 0.985 1.649 2.971          0.011  2272 1.001 1.002
latent_sigma_q1_A 0.126 0.082 0.006 0.117 0.309          0.002  1486 1.004 1.012
latent_sigma_q1_B 0.629 0.249 0.240 0.596 1.210          0.006  1962 1.001 1.003
latent_sigma_q2_A 0.075 0.058 0.003 0.063 0.217          0.001  3986 1.001 1.002
latent_sigma_q2_B 0.339 0.181 0.034 0.325 0.739          0.005  1570 1.006 1.016
latent_sigma_r1   0.330 0.088 0.174 0.324 0.522          0.001  3931 1.002 1.007
latent_sigma_r2   0.172 0.111 0.009 0.159 0.419          0.003  1692 1.005 1.016
latent_sigma_r5   0.244 0.234 0.008 0.188 0.792          0.004  3096 1.011 1.013
latent_sigma_r6   0.779 0.212 0.454 0.750 1.274          0.004  2324 1.005 1.015

Correlations of latent-trait values on probit scale:
                 Mean    SD   2.5%    50% 97.5% Time-series SE n.eff  Rhat R_95%
rho[b_A,b_B]    0.017 0.376 -0.706  0.025 0.698          0.014   686 1.015 1.042
rho[b_A,pn_A]   0.029 0.378 -0.680  0.032 0.719          0.014   698 1.005 1.010
rho[b_A,pn_B]   0.007 0.356 -0.676  0.015 0.653          0.013   794 1.002 1.004
rho[b_A,po_A]  -0.053 0.379 -0.731 -0.060 0.677          0.015   639 1.003 1.008
rho[b_A,po_B]   0.035 0.349 -0.629  0.036 0.676          0.015   545 1.016 1.049
rho[b_A,q1_A]   0.044 0.393 -0.714  0.065 0.724          0.016   584 1.030 1.084
rho[b_A,q1_B]   0.086 0.420 -0.741  0.121 0.780          0.022   379 1.038 1.106
rho[b_A,q2_A]  -0.009 0.376 -0.723 -0.001 0.678          0.014   728 1.005 1.014
rho[b_A,q2_B]   0.023 0.407 -0.755  0.039 0.739          0.018   508 1.029 1.082
rho[b_A,r1]     0.072 0.426 -0.764  0.108 0.787          0.023   354 1.039 1.109
rho[b_A,r2]     0.041 0.399 -0.739  0.055 0.739          0.017   584 1.021 1.056
rho[b_A,r5]     0.017 0.381 -0.695  0.021 0.724          0.015   653 1.003 1.003
rho[b_A,r6]     0.106 0.414 -0.713  0.143 0.788          0.021   385 1.027 1.071
rho[b_B,pn_A]   0.037 0.376 -0.675  0.045 0.719          0.015   617 1.005 1.016
rho[b_B,pn_B]   0.065 0.365 -0.641  0.076 0.721          0.014   657 1.005 1.014
rho[b_B,po_A]   0.007 0.368 -0.670  0.000 0.705          0.014   710 1.002 1.004
rho[b_B,po_B]   0.032 0.339 -0.608  0.034 0.657          0.013   639 1.016 1.049
rho[b_B,q1_A]   0.032 0.394 -0.700  0.037 0.753          0.017   543 1.011 1.031
rho[b_B,q1_B]   0.059 0.420 -0.726  0.078 0.778          0.021   391 1.045 1.131
rho[b_B,q2_A]   0.042 0.380 -0.670  0.044 0.739          0.015   654 1.007 1.019
rho[b_B,q2_B]   0.056 0.401 -0.691  0.065 0.771          0.020   416 1.035 1.102
rho[b_B,r1]     0.057 0.419 -0.735  0.073 0.781          0.021   392 1.032 1.085
rho[b_B,r2]     0.026 0.399 -0.731  0.036 0.746          0.018   466 1.030 1.085
rho[b_B,r5]     0.037 0.382 -0.696  0.040 0.727          0.015   638 1.014 1.035
rho[b_B,r6]     0.133 0.410 -0.686  0.171 0.804          0.023   324 1.026 1.071
rho[pn_A,pn_B]  0.047 0.362 -0.632  0.052 0.703          0.013   812 1.007 1.020
rho[pn_A,po_A]  0.005 0.373 -0.685  0.001 0.711          0.015   645 1.005 1.013
rho[pn_A,po_B] -0.060 0.336 -0.656 -0.075 0.604          0.013   625 1.006 1.018
rho[pn_A,q1_A]  0.066 0.391 -0.674  0.073 0.765          0.017   548 1.026 1.074
rho[pn_A,q1_B]  0.101 0.407 -0.696  0.133 0.772          0.021   386 1.019 1.051
rho[pn_A,q2_A] -0.010 0.383 -0.718 -0.010 0.700          0.015   659 1.012 1.030
rho[pn_A,q2_B]  0.100 0.397 -0.665  0.116 0.792          0.020   399 1.021 1.061
rho[pn_A,r1]    0.089 0.413 -0.703  0.112 0.786          0.021   372 1.019 1.052
rho[pn_A,r2]    0.042 0.391 -0.710  0.050 0.744          0.017   557 1.007 1.013
rho[pn_A,r5]    0.017 0.378 -0.685  0.018 0.708          0.014   695 1.002 1.005
rho[pn_A,r6]    0.085 0.409 -0.724  0.113 0.777          0.021   371 1.019 1.056
rho[pn_B,po_A]  0.016 0.370 -0.675  0.016 0.713          0.014   651 1.006 1.011
rho[pn_B,po_B] -0.115 0.319 -0.670 -0.131 0.534          0.012   711 1.002 1.006
rho[pn_B,q1_A]  0.084 0.380 -0.663  0.099 0.746          0.017   516 1.018 1.055
rho[pn_B,q1_B]  0.114 0.395 -0.674  0.135 0.792          0.021   359 1.014 1.042
rho[pn_B,q2_A]  0.076 0.365 -0.650  0.093 0.714          0.014   669 1.005 1.012
