Article,Year,Volume,Issue,Domain,Experiment,n_YA,n_OA,DV,Analysis,measure of latent process,fit model,Level of Fit,Framework,Notes,DOI
"Ko, Lee, Yoon, Kwon, Mather. (2011). How does context affect assessments of facial emotion? The role of culture and age. Psychology and Aging, 26(1).",2011,26,1,Face processing,1,58,52,Rating of emotion 1-7,ANOVA,0,0,NA,Frequentist,roughly half participants american half korean,10.1037/a0020222
"Chaby, Narme, George. (2011). Older adults' configural processing of faces: role of second-order information. Psychology and Aging, 26(1).",2011,26,1,Face processing,1,33,33,Accuracy and RT,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0020873
"Gaesser, Sacchetti, Addis, Schacter. (2011). Characterizing age-related changes in remembering the past and imagining the future. Psychology and Aging, 26(1).",2011,26,1,Memory,1,16,16,Measures of description and imagination from the autobiographical interview,ANOVA,0,0,NA,Frequentist,also did multiple regression,10.1037/a0021054
"Gaesser, Sacchetti, Addis, Schacter. (2011). Characterizing age-related changes in remembering the past and imagining the future. Psychology and Aging, 26(1).",2011,26,1,Memory,2,15,15,"Measures of description, memory, and imagination from the autobiographical interview",ANOVA,0,0,NA,Frequentist,NA,10.1037/a0021054
"Baldwin, Ash. (2011). Impact of sensory acuity on auditory working memory span in young and older adults. Psychology and Aging, 26(1).",2011,26,1,Working memory,1,80,26,Span,MANCOVA,0,0,NA,Frequentist,NA,10.1037/a0020360
"Hale, Rose, Myerson, Strube, Sommers, Tye-Murray, Spehar. (2011). The structure of working memory abilities across the adult life span. Psychology and Aging, 26(1).",2011,26,1,Working memory,1,See notes,See notes,Span,"Correlation, factor analysis (inspired by theories of WM)",0,0,NA,Frequentist,N = 388 aged 20-89,10.1037/a0021483
"Buchler, Faunce, Light, Gottfredson, Reder. (2011). Effects of repetition on associative recognition in young and older adults: item and associative strengthening. Psychology and Aging, 26(1).",2011,26,1,Memory,1,30,30,"hits, false, alarms and d’",ANOVA and cognitive model (reder et al SAC model),1,1,Group,Frequentist,NA,10.1037/a0020816
"Smyth, Shanks. (2011). Aging and implicit learning: explorations in contextual cuing. Psychology and Aging, 26(1).",2011,26,1,Implicit learning,1,not given in article,NA,Correct RT,ANOVA,0,0,NA,Frequentist,sample information given in supplement…,10.1037/a0022014
"Smyth, Shanks. (2011). Aging and implicit learning: explorations in contextual cuing. Psychology and Aging, 26(1).",2011,26,1,Implicit learning,2,not given in article,NA,Correct RT,ANOVA,0,0,NA,Frequentist,sample information given in supplement…,10.1037/a0022014
"Smyth, Shanks. (2011). Aging and implicit learning: explorations in contextual cuing. Psychology and Aging, 26(1).",2011,26,1,Implicit learning,3,not given in article,NA,Correct RT,ANOVA,0,0,NA,Frequentist,sample information given in supplement…,10.1037/a0022014
"Halberstadt, Ruffman, Murray, Taumoepeau, Ryan. (2011). Emotion perception explains age-related differences in the perception of social gaffes. Psychology and Aging, 26(1).",2011,26,1,Emotion recognition,1,60,61,"Ratings, accuracy, relation to IQ",ANOVA; multiple regression,0,0,NA,Frequentist,NA,10.1037/a0021366
"McGillivray, Castel. (2011). Betting on memory leads to metacognitive improvement by younger and older adults. Psychology and Aging, 26(1).",2011,26,1,Memory; Metamemory,1,26,26,Proportion recalled,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0022681
"Kuhlmann, Touron. (2011). Older adults' use of metacognitive knowledge in source monitoring: spared monitoring but impaired control. Psychology and Aging, 26(1).",2011,26,1,Memory; Metamemory,1,60,60,Source judgements,2HT MPT model,1,1,"Aggregate (i.e., group-level)",Frequentist,NA,10.1037/a0021055
"Graham, Burke. (2011). Aging increases inattentional blindness to the gorilla in our midst. Psychology and Aging, 26(1).",2011,26,1,Inattentional blindness,1,51,61,Accuracy,Chi-sq; ANOVA,0,0,NA,Frequentist,NA,10.1037/a0020647
"Hartley, Maquestiaux, Butts. (2011). A demonstration of dual-task performance without interference in some older adults. Psychology and Aging, 26(1).",2011,26,1,Dual tasking,1,8,8,Median RT,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0021497
